"id","metric","name","description"
"page_negative_feedback_by_type_unique_week_hide_clicks","insights/page_negative_feedback_by_type_unique/week","ネガティブフィードバック数(hide)","週間 このページに否定的な反応をした人の数をタイプ別に示したものです。(ユニークユーザー数) - hide_clicks"
"page_negative_feedback_by_type_unique_week_unlike_page_clicks","insights/page_negative_feedback_by_type_unique/week","ネガティブフィードバック数(ファン離脱)","週間 このページに否定的な反応をした人の数をタイプ別に示したものです。(ユニークユーザー数) - unlike_page_clicks"
"page_impressions_unique_day","insights/page_impressions_unique/day","総リーチ数/日","1日 ページに関連するコンテンツを見たことのある人の数。(ユニークユーザー数)"
"page_impressions_unique_week","insights/page_impressions_unique/week","総リーチ数/週","週間 ページに関連するコンテンツを見たことのある人の数。(ユニークユーザー数)"
"page_impressions_unique_days_28","insights/page_impressions_unique/days_28","総リーチ数/28日","28日間 ページに関連するコンテンツを見たことのある人の数。(ユニークユーザー数)"
"page_impressions_organic_unique_day","insights/page_impressions_organic_unique/day","オーガニックリーチ数/日","1日 このページを訪れた人、またはニュースフィードまたはリアルタイムフィードでページまたはその投稿を見た人の数。これには、このページに「いいね！」と言った人と言っていない人が含まれます。(ユニークユーザー数)"
"page_impressions_organic_unique_week","insights/page_impressions_organic_unique/week","オーガニックリーチ数/週","週間 このページを訪れた人、またはニュースフィードまたはリアルタイムフィードでページまたはその投稿を見た人の数。これには、このページに「いいね！」と言った人と言っていない人が含まれます。(ユニークユーザー数)"
"page_impressions_organic_unique_days_28","insights/page_impressions_organic_unique/days_28","オーガニックリーチ数/28日","28日間 このページを訪れた人、またはニュースフィードまたはリアルタイムフィードでページまたはその投稿を見た人の数。これには、このページに「いいね！」と言った人と言っていない人が含まれます。(ユニークユーザー数)"
"page_impressions_paid_unique_day","insights/page_impressions_paid_unique/day","ペイドリーチ数/日","1日 このページにリンクするスポンサー記事または広告を見た人の数。(ユニークユーザー数)"
"page_impressions_paid_unique_week","insights/page_impressions_paid_unique/week","ペイドリーチ数/週","週間 このページにリンクするスポンサー記事または広告を見た人の数。(ユニークユーザー数)"
"page_impressions_paid_unique_days_28","insights/page_impressions_paid_unique/days_28","ペイドリーチ数/28日","28日間 このページにリンクするスポンサー記事または広告を見た人の数。(ユニークユーザー数)"
"page_posts_impressions_frequency_distribution_week_1","insights/page_posts_impressions_frequency_distribution/week","1リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 1"
"page_posts_impressions_frequency_distribution_week_2","insights/page_posts_impressions_frequency_distribution/week","2リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 2"
"page_posts_impressions_frequency_distribution_week_3","insights/page_posts_impressions_frequency_distribution/week","3リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 3"
"page_posts_impressions_frequency_distribution_week_4","insights/page_posts_impressions_frequency_distribution/week","4リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 4"
"page_posts_impressions_frequency_distribution_week_5","insights/page_posts_impressions_frequency_distribution/week","5リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 5"
"page_posts_impressions_frequency_distribution_week_6_to_10","insights/page_posts_impressions_frequency_distribution/week","6-10リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 6-10"
"page_posts_impressions_frequency_distribution_week_11_to_20","insights/page_posts_impressions_frequency_distribution/week","11-20リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 11-20"
"page_posts_impressions_frequency_distribution_week_21_plus","insights/page_posts_impressions_frequency_distribution/week",">21リーチ/週","週間 Facebookページ投稿を見た人の数をその回数別に示したものです。(ユニークユーザー数) - 21+"
"page_stories_by_story_type_week_fan","insights/page_stories_by_story_type/week","クチコミ内訳/週（ファンになる）","週間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - fan"
"page_stories_by_story_type_week_mention","insights/page_stories_by_story_type/week","","週間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - mention"
"page_stories_by_story_type_week_other","insights/page_stories_by_story_type/week","クチコミ内訳/週（その他）","週間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - other"
"page_stories_by_story_type_week_user_post","insights/page_stories_by_story_type/week","クチコミ内訳/週（ページ投稿）","週間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - user post"
"page_stories_by_story_type_week_page_post","insights/page_stories_by_story_type/week","クチコミ内訳/週（ユーザー投稿）","週間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - page post"
"page_stories_by_story_type_days_28_fan","insights/page_stories_by_story_type/days_28","クチコミ内訳/28日（ファンになる）","28日間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - fan"
"page_stories_by_story_type_days_28_mention","insights/page_stories_by_story_type/days_28","","28日間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - mention"
"page_stories_by_story_type_days_28_other","insights/page_stories_by_story_type/days_28","クチコミ内訳/28日（その他）","28日間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - other"
"page_stories_by_story_type_days_28_user_post","insights/page_stories_by_story_type/days_28","クチコミ内訳/28日（ページ投稿）","28日間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - user post"
"page_stories_by_story_type_days_28_page_post","insights/page_stories_by_story_type/days_28","クチコミ内訳/28日（ユーザー投稿）","28日間 Facebookページに関する記事の、記事タイプ別の数。(合計数) - page post"
"page_fans_gender_age_lifetime_f_13_17","insights/page_fans_gender_age/lifetime","ファンデモグラ(F.13-17)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - F.13-17"
"page_fans_gender_age_lifetime_f_18_24","insights/page_fans_gender_age/lifetime","ファンデモグラF.18-24)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - F.18-24"
"page_fans_gender_age_lifetime_f_25_34","insights/page_fans_gender_age/lifetime","ファンデモグラF.25-34)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - F.25-34"
"page_fans_gender_age_lifetime_f_35_44","insights/page_fans_gender_age/lifetime","ファンデモグラF.35-44)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - F.35-44"
"page_fans_gender_age_lifetime_f_45_54","insights/page_fans_gender_age/lifetime","ファンデモグラF.45-54)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - F.45-54"
"page_fans_gender_age_lifetime_f_55_64","insights/page_fans_gender_age/lifetime","ファンデモグラF.55-64)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - F.55-64"
"page_fans_gender_age_lifetime_f_65_plus","insights/page_fans_gender_age/lifetime","ファンデモグラF.65+)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - F.65+"
"page_fans_gender_age_lifetime_m_13_17","insights/page_fans_gender_age/lifetime","ファンデモグラM.13-17)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - M.13-17"
"page_fans_gender_age_lifetime_m_18_24","insights/page_fans_gender_age/lifetime","ファンデモグラM.18-24)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - M.18-24"
"page_fans_gender_age_lifetime_m_25_34","insights/page_fans_gender_age/lifetime","ファンデモグラM.25-34)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - M.25-34"
"page_fans_gender_age_lifetime_m_35_44","insights/page_fans_gender_age/lifetime","ファンデモグラM.35-44)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - M.35-44"
"page_fans_gender_age_lifetime_m_45_54","insights/page_fans_gender_age/lifetime","ファンデモグラM.45-54)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - M.45-54"
"page_fans_gender_age_lifetime_m_55_64","insights/page_fans_gender_age/lifetime","ファンデモグラM.55-64)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - M.55-64"
"page_fans_gender_age_lifetime_m_65_plus","insights/page_fans_gender_age/lifetime","ファンデモグラM.65+)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - M.65+"
"page_fans_gender_age_lifetime_u_13_17","insights/page_fans_gender_age/lifetime","ファンデモグラU.13-17)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - U.13-17"
"page_fans_gender_age_lifetime_u_18_24","insights/page_fans_gender_age/lifetime","ファンデモグラU.18-24)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - U.18-24"
"page_fans_gender_age_lifetime_u_25_34","insights/page_fans_gender_age/lifetime","ファンデモグラU.25-34)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - U.25-34"
"page_fans_gender_age_lifetime_u_35_44","insights/page_fans_gender_age/lifetime","ファンデモグラU.35-44)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - U.35-44"
"page_fans_gender_age_lifetime_u_45_54","insights/page_fans_gender_age/lifetime","ファンデモグラU.45-54)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - U.45-54"
"page_fans_gender_age_lifetime_u_55_64","insights/page_fans_gender_age/lifetime","ファンデモグラU.55-64)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - U.55-64"
"page_fans_gender_age_lifetime_u_65_plus","insights/page_fans_gender_age/lifetime","ファンデモグラU.65+)","通算 ページを「いいね！の」した人の性別と年齢の集計データです。ユーザーのプロフィールに記載されている情報に基づいて集計されます。(ユニークユーザー数) - U.65+"
"page_storytellers_by_age_gender_day_f_13_17","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.13-17"
"page_storytellers_by_age_gender_day_f_18_24","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.18-24"
"page_storytellers_by_age_gender_day_f_25_34","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.25-34"
"page_storytellers_by_age_gender_day_f_35_44","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.35-44"
"page_storytellers_by_age_gender_day_f_45_54","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.45-54"
"page_storytellers_by_age_gender_day_f_55_64","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.55-64"
"page_storytellers_by_age_gender_day_f_65_plus","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.65+"
"page_storytellers_by_age_gender_day_m_13_17","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.13-17"
"page_storytellers_by_age_gender_day_m_18_24","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.18-24"
"page_storytellers_by_age_gender_day_m_25_34","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.25-34"
"page_storytellers_by_age_gender_day_m_35_44","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.35-44"
"page_storytellers_by_age_gender_day_m_45_54","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.45-54"
"page_storytellers_by_age_gender_day_m_55_64","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.55-64"
"page_storytellers_by_age_gender_day_m_65_plus","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.65+"
"page_storytellers_by_age_gender_day_u_13_17","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.13-17"
"page_storytellers_by_age_gender_day_u_18_24","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.18-24"
"page_storytellers_by_age_gender_day_u_25_34","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.25-34"
"page_storytellers_by_age_gender_day_u_35_44","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.35-44"
"page_storytellers_by_age_gender_day_u_45_54","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.45-54"
"page_storytellers_by_age_gender_day_u_55_64","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.55-64"
"page_storytellers_by_age_gender_day_u_65_plus","insights/page_storytellers_by_age_gender/day","","1日 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.65+"
"page_storytellers_by_age_gender_week_f_13_17","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(F.13-17)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.13-17"
"page_storytellers_by_age_gender_week_f_18_24","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(F.18-24)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.18-24"
"page_storytellers_by_age_gender_week_f_25_34","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(F.25-34)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.25-34"
"page_storytellers_by_age_gender_week_f_35_44","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(F.35-44)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.35-44"
"page_storytellers_by_age_gender_week_f_45_54","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(F.45-54)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.45-54"
"page_storytellers_by_age_gender_week_f_55_64","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(F.55-64)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.55-64"
"page_storytellers_by_age_gender_week_f_65_plus","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(F.65+)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.65+"
"page_storytellers_by_age_gender_week_m_13_17","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(M.13-17)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.13-17"
"page_storytellers_by_age_gender_week_m_18_24","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(M.18-24)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.18-24"
"page_storytellers_by_age_gender_week_m_25_34","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(M.25-34)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.25-34"
"page_storytellers_by_age_gender_week_m_35_44","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(M.35-44)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.35-44"
"page_storytellers_by_age_gender_week_m_45_54","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(M.45-54)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.45-54"
"page_storytellers_by_age_gender_week_m_55_64","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(M.55-64)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.55-64"
"page_storytellers_by_age_gender_week_m_65_plus","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(M.65+)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.65+"
"page_storytellers_by_age_gender_week_u_13_17","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(U.13-17)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.13-17"
"page_storytellers_by_age_gender_week_u_18_24","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(U.18-24)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.18-24"
"page_storytellers_by_age_gender_week_u_25_34","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(U.25-34)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.25-34"
"page_storytellers_by_age_gender_week_u_35_44","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(U.35-44)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.35-44"
"page_storytellers_by_age_gender_week_u_45_54","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(U.45-54)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.45-54"
"page_storytellers_by_age_gender_week_u_55_64","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(U.55-64)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.55-64"
"page_storytellers_by_age_gender_week_u_65_plus","insights/page_storytellers_by_age_gender/week","話題にしている人デモグラ/週(U.65+)","週間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.65+"
"page_storytellers_by_age_gender_days_28_f_13_17","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(F.13-17)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.13-17"
"page_storytellers_by_age_gender_days_28_f_18_24","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(F.18-24)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.18-24"
"page_storytellers_by_age_gender_days_28_f_25_34","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(F.25-34)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.25-34"
"page_storytellers_by_age_gender_days_28_f_35_44","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(F.35-44)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.35-44"
"page_storytellers_by_age_gender_days_28_f_45_54","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(F.45-54)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.45-54"
"page_storytellers_by_age_gender_days_28_f_55_64","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(F.55-64)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.55-64"
"page_storytellers_by_age_gender_days_28_f_65_plus","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(F.65+)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - F.65+"
"page_storytellers_by_age_gender_days_28_m_13_17","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(M.13-17)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.13-17"
"page_storytellers_by_age_gender_days_28_m_18_24","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(M.18-24)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.18-24"
"page_storytellers_by_age_gender_days_28_m_25_34","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(M.25-34)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.25-34"
"page_storytellers_by_age_gender_days_28_m_35_44","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(M.35-44)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.35-44"
"page_storytellers_by_age_gender_days_28_m_45_54","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(M.45-54)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.45-54"
"page_storytellers_by_age_gender_days_28_m_55_64","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(M.55-64)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.55-64"
"page_storytellers_by_age_gender_days_28_m_65_plus","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(M.65+)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - M.65+"
"page_storytellers_by_age_gender_days_28_u_13_17","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(U.13-17)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.13-17"
"page_storytellers_by_age_gender_days_28_u_18_24","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(U.18-24)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.18-24"
"page_storytellers_by_age_gender_days_28_u_25_34","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(U.25-34)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.25-34"
"page_storytellers_by_age_gender_days_28_u_35_44","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(U.35-44)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.35-44"
"page_storytellers_by_age_gender_days_28_u_45_54","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(U.45-54)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.45-54"
"page_storytellers_by_age_gender_days_28_u_55_64","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(U.55-64)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.55-64"
"page_storytellers_by_age_gender_days_28_u_65_plus","insights/page_storytellers_by_age_gender/days_28","話題にしている人デモグラ/28日(U.65+)","28日間 Facebookページについて話題にしている人の年齢および性別人数(ユニークユーザー数) - U.65+"
"post_impressions_unique_lifetime","insights/post_impressions_unique/lifetime","","通算 投稿の合計リーチ"
"post_impressions_organic_unique_lifetime","insights/post_impressions_organic_unique/lifetime","","通算 投稿のオーガニックリーチ"
"post_impressions_paid_unique_lifetime","insights/post_impressions_paid_unique/lifetime","","通算 投稿の宣伝によるリーチ"
"post_impressions_lifetime","insights/post_impressions/lifetime","","通算 記事の総インプレッション数"
"post_impressions_organic_lifetime","insights/post_impressions_organic/lifetime","","通算 投稿のオーガニックインプレッション"
"post_impressions_paid_lifetime","insights/post_impressions_paid/lifetime","","通算 有料投稿インプレッション数"
"post_engaged_users_lifetime","insights/post_engaged_users/lifetime","","通算 アクションを実行したユーザー"
"post_consumptions_unique_lifetime","insights/post_consumptions_unique/lifetime","","通算 投稿の消費者"
"post_consumptions_lifetime","insights/post_consumptions/lifetime","","通算 投稿の消費"
"post_negative_feedback_unique_lifetime","insights/post_negative_feedback_unique/lifetime","","通算 否定的な意見"
"post_negative_feedback_lifetime","insights/post_negative_feedback/lifetime","","通算 ユーザーからの否定的な意見"
"post_impressions_fan_lifetime","insights/post_impressions_fan/lifetime","","通算 Facebookページに「いいね！」と言った人による投稿のインプレッション数"
"post_impressions_fan_unique_lifetime","insights/post_impressions_fan_unique/lifetime","","通算 Facebookページに「いいね！」と言った人による投稿のリーチ"
"post_impressions_fan_paid_lifetime","insights/post_impressions_fan_paid/lifetime","","通算 Facebookページに「いいね！」と言った人による投稿の有料インプレッション数"
"post_impressions_fan_paid_unique_lifetime","insights/post_impressions_fan_paid_unique/lifetime","","通算 ページについて「いいね！」と言った人による宣伝した投稿のリーチ"
"post_stories_by_action_type_lifetime_like","insights/post_stories_by_action_type/lifetime","","like"
